Team Name,Year Founded,Image Path
No team name,Year Founded,images/image_2.png
Arizona Cardinals,1898,images/image_3.png
Atlanta Falcons,1966,images/image_4.png
Baltimore Ravens,1996,images/image_5.png
Buffalo Bills,1959,images/image_7.png
Carolina Panthers,1995,images/image_9.png
Chicago Bears,1919,images/image_11.png
Cincinnati Bengals,1968,images/image_13.png
Cleveland Browns,1946,images/image_15.png
Dallas Cowboys,1960,images/image_17.png
Denver Broncos,1960,images/image_19.png
Detroit Lions,1929,images/image_21.png
Green Bay Packers,1919,images/image_23.png
Houston Texans,2002,images/image_25.png
Indianapolis Colts,1953,images/image_27.png
Jacksonville Jaguars,1995,images/image_29.png
Kansas City Chiefs,1960,images/image_31.png
Las Vegas Raiders,1960,images/image_33.png
Los Angeles Chargers,1960,images/image_35.png
Los Angeles Rams,1936,images/image_37.png
Miami Dolphins,1966,images/image_39.png
Minnesota Vikings,1961,images/image_41.png
New England Patriots,1960,images/image_43.png
New Orleans Saints,1967,images/image_45.png
New York Giants,1925,images/image_47.png
New York Jets,1960,images/image_49.png
Philadelphia Eagles,1933,images/image_51.png
Pittsburgh Steelers,1933,images/image_53.png
San Francisco 49ers,1946,images/image_55.png
Seattle Seahawks,1976,images/image_57.png
Tampa Bay Buccaneers,1976,images/image_59.png
Tennessee Titans,1960,images/image_61.png
Washington Commanders,1932,images/image_63.png
